ML_DefectID_s7,ML_AxDist_s7,ML_AxLength_s7,ML_AxWidth_s7,ML_MaxDepthPer_s7,ML_FailurePressure_s7,ML_AvgDepth_s7,ML_Orient_s7,ML_AvgDepthPer_s7,ML_MaxDepth_s7,ML_MinRemWall_s7,ML_FactorSafety_s7,ML_FailurePressType_s7,ML_DepthMeasured_s7,ML_CorrosionType_s7,ML_LocThruWall_s7,ML_FullCirc_s7,ML_RefGW_s7,ML_ScanID_s7,ML_AcWallThickness_s7,ML_ILI_DefectID_s7,ML_AssocDefectID_s7,ML_DefectStatus_s7
DMA-001,3.502,2.00,3.00,10.68,12409.0,1.281,225.7,10.68,1.282,10.718,1.43,Mod. B31G,Laser,CORROSION - Pitting,External,No,106170,SCAN-001,12.000,,,RECOAT
DMA-002,3.620,2.00,2.00,10.31,12409.0,1.237,207.1,10.31,1.237,10.763,1.43,Mod. B31G,Laser,CORROSION - Pitting,External,No,106170,SCAN-001,12.000,,,RECOAT
DMA-003,4.360,10.00,13.00,12.97,12406.0,1.363,244.3,11.36,1.556,10.444,1.43,EFF. AREA,Laser,CORROSION - Pitting,External,No,106170,SCAN-001,12.000,,,RECOAT
CLS-004,4.384,76.00,66.00,14.96,12242.0,1.302,228.4,10.85,1.795,10.205,1.41,EFF. AREA,Laser,CORROSION - Pitting,External,No,106170,SCAN-001,12.000,,,RECOAT
DMA-005,4.584,6.00,6.00,10.44,12408.0,1.235,122.6,10.29,1.253,10.747,1.43,EFF. AREA,Laser,CORROSION - Pitting,External,No,106170,SCAN-001,12.000,,,RECOAT
CLS-006,4.766,150.00,71.00,16.42,11933.0,1.392,114.1,11.60,1.970,10.030,1.37,EFF. AREA,Laser,CORROSION - Pitting,External,No,106170,SCAN-001,12.000,,,RECOAT
CLS-007,4.832,52.00,98.00,19.16,12306.0,1.549,212.0,12.91,2.299,9.701,1.42,EFF. AREA,Laser,CORROSION - Pitting,External,No,106170,SCAN-001,12.000,,,RECOAT
CLS-008,4.874,756.00,950.00,32.49,10497.0,2.152,179.5,17.93,3.899,8.101,1.21,EFF. AREA,Laser,CORROSION - Pitting,External,No,106170,SCAN-001,12.000,,,RECOAT
CLS-009,4.936,120.00,140.00,21.55,11970.0,1.657,200.3,13.81,2.586,9.414,1.38,EFF. AREA,Laser,CORROSION - Pitting,External,No,106170,SCAN-001,12.000,,,RECOAT
DMA-010,5.098,2.00,2.00,10.62,12409.0,1.274,120.0,10.62,1.274,10.726,1.43,Mod. B31G,Laser,CORROSION - Pitting,External,No,106170,SCAN-001,12.000,,,RECOAT
CLS-011,5.680,42.00,55.00,12.51,12354.0,1.292,222.9,10.76,1.501,10.499,1.42,EFF. AREA,Laser,CORROSION - Pitting,External,No,106170,SCAN-001,12.000,,,RECOAT
CLS-012,5.700,26.00,74.00,12.77,12387.0,1.333,109.7,11.11,1.532,10.468,1.43,EFF. AREA,Laser,CORROSION - Pitting,External,No,106170,SCAN-001,12.000,,,RECOAT
DMA-013,6.002,6.00,8.00,11.58,12408.0,1.332,160.7,11.10,1.390,10.610,1.43,EFF. AREA,Laser,CORROSION - Pitting,External,No,106170,SCAN-001,12.000,,,RECOAT
DMA-014,6.090,2.00,2.00,11.20,12409.0,1.344,163.8,11.20,1.344,10.656,1.43,Mod. B31G,Laser,CORROSION - Pitting,External,No,106170,SCAN-001,12.000,,,RECOAT
DMA-015,6.914,4.00,4.00,10.92,12409.0,1.291,147.1,10.76,1.310,10.690,1.43,Mod. B31G,Laser,CORROSION - Pitting,External,No,106170,SCAN-001,12.000,,,RECOAT
DMA-016,7.072,6.00,4.00,11.31,12408.0,1.285,250.3,10.71,1.357,10.643,1.43,EFF. AREA,Laser,CORROSION - Pitting,External,No,106170,SCAN-001,12.000,,,RECOAT
DMA-017,7.098,4.00,6.00,11.17,12409.0,1.337,211.7,11.14,1.340,10.660,1.43,Mod. B31G,Laser,CORROSION - Pitting,External,No,106170,SCAN-001,12.000,,,RECOAT
DMA-018,7.162,4.00,4.00,10.94,12409.0,1.271,205.4,10.60,1.313,10.687,1.43,Mod. B31G,Laser,CORROSION - Pitting,External,No,106170,SCAN-001,12.000,,,RECOAT
CLS-019,7.266,30.00,69.00,12.12,12399.0,0.562,152.1,4.69,1.454,10.546,1.43,EFF. AREA,Laser,CORROSION - Pitting,External,No,106170,SCAN-001,12.000,,,RECOAT
