ML_DefectID_s7,ML_AxDist_s7,ML_AxLength_s7,ML_AxWidth_s7,ML_MaxDepthPer_s7,ML_FailurePressure_s7,ML_AvgDepth_s7,ML_Orient_s7,ML_AvgDepthPer_s7,ML_MaxDepth_s7,ML_MinRemWall_s7,ML_FactorSafety_s7,ML_FailurePressType_s7,ML_DepthMeasured_s7,ML_CorrosionType_s7,ML_LocThruWall_s7,ML_FullCirc_s7,ML_RefGW_s7,ML_ScanID_s7,ML_AcWallThickness_s7,ML_ILI_DefectID_s7,ML_AssocDefectID_s7,ML_DefectStatus_s7
DMA-001,7.696,8,8,17.26,9014,1.314,334.3,14.13,1.605,7.695,1.49,EFF. AREA,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,RECOAT
CLS-002,7.696,68,30,26.44,8861,1.239,31.4,13.32,2.459,6.841,1.46,EFF. AREA,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,RECOAT
DMA-003,7.696,4,4,10.97,9016,0.99,13.3,10.65,1.02,8.28,1.49,Mod. B31G,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,RECOAT
DMA-004,7.852,54,36,36.19,8745,2.644,31.3,28.42,3.366,5.934,1.44,EFF. AREA,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,SLEEVED
CLS-005,7.858,664,159,47.92,7377,2.005,336.6,21.55,4.457,4.843,1.22,EFF. AREA,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,SLEEVED
DMA-006,7.938,36,15,22.56,8955,1.496,37.5,16.08,2.098,7.202,1.48,EFF. AREA,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,SLEEVED
CLS-007,8.024,50,82,26.42,8903,1.495,33.1,16.08,2.457,6.843,1.47,EFF. AREA,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,SLEEVED
CLS-008,8.068,16,5,13.04,9010,0.909,320.8,9.78,1.213,8.087,1.49,EFF. AREA,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,SLEEVED
DMA-009,8.074,2,3,11.34,9016,1.055,6.7,11.34,1.055,8.245,1.49,Mod. B31G,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,SLEEVED
DMA-010,8.116,28,19,19.92,8980,1.465,38,15.76,1.853,7.447,1.48,EFF. AREA,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,SLEEVED
DMA-011,8.17,2,3,11.17,9016,1.039,38.8,11.17,1.039,8.261,1.49,Mod. B31G,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,SLEEVED
CLS-012,8.208,18,9,12.94,9010,0.779,30,8.38,1.203,8.097,1.49,EFF. AREA,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,SLEEVED
DMA-013,8.318,2,1,10.03,9016,0.933,320.6,10.03,0.933,8.367,1.49,Mod. B31G,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,SLEEVED
CLS-014,8.322,64,19,19.55,8920,0.882,349.6,9.49,1.818,7.482,1.47,EFF. AREA,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,SLEEVED
CLS-015,8.358,22,5,11.18,9005,0.865,320.8,9.3,1.04,8.26,1.48,EFF. AREA,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,SLEEVED
CLS-016,8.436,128,23,23.38,8617,1.267,10.8,13.63,2.174,7.126,1.42,EFF. AREA,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,SLEEVED
CLS-017,8.56,26,18,30.28,8968,2.061,334,22.16,2.816,6.484,1.48,EFF. AREA,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,SLEEVED
CLS-018,8.618,56,30,26.72,8843,1.791,335.5,19.26,2.485,6.815,1.46,EFF. AREA,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,RECOAT
DMA-019,8.63,2,2,11.24,9016,1.045,347.6,11.24,1.045,8.255,1.49,Mod. B31G,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,RECOAT
CLS-020,8.656,34,28,11.29,8995,0.683,11.2,7.35,1.05,8.25,1.48,EFF. AREA,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,RECOAT
CLS-021,8.744,86,32,25.76,8765,1.521,336,16.36,2.396,6.904,1.45,EFF. AREA,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,RECOAT
DMA-022,8.788,4,3,10.3,9016,0.949,10,10.2,0.958,8.342,1.49,Mod. B31G,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,RECOAT
CLS-023,8.866,18,8,16.83,9009,0.904,3.9,9.72,1.565,7.735,1.49,EFF. AREA,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,RECOAT
CLS-024,8.866,164,29,25.31,8611,1.016,335.2,10.92,2.354,6.946,1.42,EFF. AREA,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,RECOAT
DMA-025,8.902,2,1,10.09,9016,0.938,320.6,10.09,0.938,8.362,1.49,Mod. B31G,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,RECOAT
CLS-026,8.906,34,15,20.2,8981,1.052,348.3,11.31,1.879,7.421,1.48,EFF. AREA,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,RECOAT
