ID,OD_WT_Ratio,Pipe_WT,Pipe_OD,Yield_Strength,Tensile_Strength,Pipe_Vintage,C,Mn,Nb,Pipe_Grade
1,0.058823529,0.75,12.75,48800,65500,1954,0.234,0.618,0.001,3
2,0.053960784,0.688,12.75,48000,69000,1966,0.248,0.599,0.003,2
3,0.014880952,0.625,42,78500,97500,2008,0.056,1.57,0.075,8
4,0.026041667,0.625,24,70000,81500,1997,0.076,1.29,0.036,7
5,0.034722222,0.625,18,68500,88000,1996,0.075,1.47,0.042,7
6,0.033125,0.53,16,46100,74000,1960,0.213,0.984,0.001,3
7,0.013888889,0.5,36,72000,89000,2013,0.036,1.56,0.067,8
8,0.013888889,0.5,36,72600,90700,2013,0.044,1.75,0.076,8
9,0.013888889,0.5,36,74400,88900,2013,0.032,1.56,0.068,8
10,0.013888889,0.5,36,74925,92500,2013,0.045,1.74,0.071,8
11,0.013888889,0.5,36,76000,94800,2013,0.046,1.74,0.077,8
12,0.013888889,0.5,36,79600,93300,2013,0.047,1.55,0.082,8
13,0.013888889,0.5,36,80000,93800,2013,0.042,1.75,0.066,8
14,0.013888889,0.5,36,80400,96000,2013,0.038,1.54,0.079,8
15,0.022727273,0.5,22,47500,76200,1949,0.252,0.825,0.001,3
16,0.022727273,0.5,22,48200,76500,1949,0.287,0.833,0.001,3
17,0.022727273,0.5,22,48300,76500,1949,0.276,0.831,0.001,3
18,0.022727273,0.5,22,51000,79000,1949,0.261,0.838,0.001,3
19,0.025,0.5,20,37400,64500,1955,0.255,0.631,0.001,2
20,0.025,0.5,20,46200,69000,1952,0.239,0.814,0.002,3
21,0.027777778,0.5,18,80000,111000,1976,0.307,1.05,0.001,3
22,0.039215686,0.5,12.75,44100,72500,1991,0.216,0.653,0.001,2
23,0.039215686,0.5,12.75,44700,72500,1991,0.202,0.655,0.001,2
24,0.039215686,0.5,12.75,45600,73000,1991,0.216,0.655,0.002,2
25,0.046511628,0.5,10.75,62500,77000,2002,0.135,1.24,0.033,7
26,0.046511628,0.5,10.75,71500,75700,2012,0.056,1,0.016,5
27,0.046511628,0.5,10.75,73000,79000,2012,0.059,0.99,0.014,5
28,0.057971014,0.5,8.625,54000,74000,2005,0.198,1.07,0.001,3
29,0.057971014,0.5,8.625,59000,75500,2005,0.185,1.07,0.001,3
30,0.009625,0.462,48,77000,81600,1972,0.104,1.33,0.001,7
31,0.012166667,0.438,36,63500,84500,1970,0.209,1.3,0.041,6
32,0.012166667,0.438,36,63500,84500,1970,0.209,1.27,0.04,6
33,0.0146,0.438,30,73500,90000,2007,0.116,1.38,0.02,8
34,0.0146,0.438,30,73500,89500,2007,0.121,1.37,0.021,8
35,0.0146,0.438,30,77500,109000,1969,0.244,1.37,0.035,6
36,0.0146,0.438,30,81000,89500,2007,0.106,1.44,0.017,8
37,0.027375,0.438,16,38000,62000,1953,0.194,0.534,0.001,2
38,0.027375,0.438,16,38500,64000,1951,0.205,0.429,0.001,2
39,0.027375,0.438,16,40400,64500,1953,0.254,0.563,0.001,2
40,0.027375,0.438,16,40500,66000,1953,0.259,0.562,0.001,2
41,0.027375,0.438,16,40900,63000,1951,0.196,0.423,0.001,2
42,0.027375,0.438,16,42200,63500,1951,0.218,0.392,0.001,2
43,0.027375,0.438,16,42300,68500,1951,0.319,0.515,0.001,2
44,0.027375,0.438,16,43000,66500,1951,0.271,0.459,0.001,2
45,0.0143,0.429,30,82500,96500,2011,0.065,1.59,0.049,8
46,0.010047619,0.422,42,85000,94000,2008,0.046,1.7,0.043,8
47,0.008458333,0.406,48,58800,80900,1973,0.19,1.37,0,5
48,0.016916667,0.406,24,63300,85900,1962,0.23,1.11,0,6
49,0.035813953,0.385,10.75,69000,77000,2012,0.036,1.1,0.033,5
50,0.035813953,0.385,10.75,72000,79500,2012,0.036,1.1,0.033,5
51,0.010416667,0.375,36,65500,91000,1971,0.156,1.43,0.043,7
52,0.010416667,0.375,36,68000,89500,1971,0.161,1.43,0.045,7
53,0.010416667,0.375,36,69500,93500,1971,0.167,1.44,0.045,7
54,0.010416667,0.375,36,70500,90000,1971,0.167,1.44,0.045,7
55,0.010416667,0.375,36,70500,87000,1971,0.161,1.43,0.045,7
56,0.010416667,0.375,36,73750,96500,1968,0.26,1.37,0.015,7
57,0.010416667,0.375,36,74000,96500,1968,0.26,1.37,0.015,7
58,0.010416667,0.375,36,74500,90000,1971,0.156,1.43,0.043,7
59,0.0125,0.375,30,43200,79500,1957,0.272,1.1,0.003,5
60,0.0125,0.375,30,45700,80500,1957,0.272,1.1,0.003,5
61,0.0125,0.375,30,52000,80000,1957,0.243,1.06,0.003,5
62,0.0125,0.375,30,53000,79000,1957,0.252,1.12,0.003,5
63,0.0125,0.375,30,53000,79500,1957,0.252,1.12,0.003,5
64,0.0125,0.375,30,55800,82600,1952,0.24,0.98,0.003,5
65,0.0125,0.375,30,55800,82600,1952,0.27,1.08,0.003,5
66,0.0125,0.375,30,56600,82500,1952,0.24,0.98,0.003,5
67,0.0125,0.375,30,56600,82500,1952,0.27,1.08,0.003,5
68,0.0125,0.375,30,57500,81000,1957,0.243,1.06,0.003,5
69,0.014423077,0.375,26,69000,92700,1968,0.27,1.18,0.009,6
70,0.014423077,0.375,26,71000,98500,1968,0.27,1.18,0.009,6
71,0.014423077,0.375,26,87500,103100,2016,0.064,1.61,0.072,8
72,0.015625,0.375,24,35100,51500,1948,0.042,0.32,0.002,1
73,0.015625,0.375,24,36300,56000,1948,0.099,0.49,0.001,1
74,0.015625,0.375,24,37000,53500,1948,0.064,0.38,0.001,1
75,0.015625,0.375,24,37400,56000,1948,0.099,0.49,0.001,1
76,0.015625,0.375,24,41700,52500,1948,0.064,0.38,0.001,1
77,0.015625,0.375,24,54000,79000,1952,0.265,1.01,0.001,5
78,0.015625,0.375,24,60500,80500,1959,0.29,1.15,0.003,5
79,0.015625,0.375,24,62500,87000,1952,0.289,1.2,0.001,5
80,0.015625,0.375,24,63000,85000,1959,0.23,1.16,0.002,5
81,0.015625,0.375,24,66000,93500,1952,0.272,1.15,0.001,5
82,0.015625,0.375,24,67000,84000,1959,0.31,1.15,0.003,5
83,0.015625,0.375,24,71500,94000,2011,0.055,1.62,0.042,7
84,0.015625,0.375,24,75500,91000,2011,0.059,1.67,0.044,7
85,0.015625,0.375,24,78200,85100,1952,0.275,1.11,0.001,5
86,0.015625,0.375,24,81000,84700,1952,0.264,1.01,0.001,5
87,0.015625,0.375,24,84000,96000,2011,0.062,1.68,0.045,7
88,0.015625,0.375,24,85000,89500,1952,0.27,1.14,0.001,5
89,0.017045455,0.375,22,49600,82500,1952,0.267,0.78,0.002,4
90,0.01875,0.375,20,78500,84000,2015,0.074,1.36,0.04,7
91,0.01875,0.375,20,80500,95000,2015,0.074,1.36,0.04,7
92,0.0234375,0.375,16,42500,68000,1951,0.239,0.7,0.001,3
93,0.0234375,0.375,16,43500,70000,1962,0.283,0.673,0.001,3
94,0.0234375,0.375,16,43500,67500,1951,0.239,0.7,0.001,3
95,0.0234375,0.375,16,43800,70500,1951,0.338,0.74,0.001,3
96,0.0234375,0.375,16,44800,71000,1951,0.338,0.74,0.001,3
97,0.0234375,0.375,16,45000,78500,1951,0.285,0.82,0.001,3
98,0.0234375,0.375,16,46300,71000,1951,0.279,0.74,0.001,3
99,0.0234375,0.375,16,46700,76500,1951,0.259,1.05,0.001,3
100,0.0234375,0.375,16,46800,78500,1951,0.285,0.82,0.001,3
101,0.0234375,0.375,16,46800,71500,1951,0.279,0.74,0.001,3
102,0.0234375,0.375,16,47600,78000,1951,0.267,0.82,0.001,3
103,0.0234375,0.375,16,48300,78500,1951,0.267,0.82,0.001,3
104,0.0234375,0.375,16,48500,79000,1951,0.277,1.09,0.002,3
105,0.0234375,0.375,16,48600,68000,2008,0.163,1.02,0.001,3
106,0.0234375,0.375,16,48800,78000,1951,0.259,1.05,0.001,3
107,0.0234375,0.375,16,49300,79000,1951,0.277,1.09,0.002,3
108,0.0234375,0.375,16,49800,68500,2008,0.151,1.03,0.001,3
109,0.0234375,0.375,16,50000,74500,1951,0.24,1.04,0.001,3
