ID,OD_WT_Ratio,Pipe_WT,Pipe_OD,Yield_Strength,Tensile_Strength,Fake Elongation,C,Mn,S,P,Ni,Cu,Nb,Pipe_Vintage,Grade_Name
9,0.015625,0.375,24,36300,56000,34,0.099,0.49,0.026,0.011,0.049,0.097,0.001,1948,Grade A
3,0.045735849,0.303,6.625,29214,52386,39.66345493,0.105,0.506,0.03,0.011,0.009,0.048,0.001,1929,Grade A
17,0.037333333,0.322,8.625,38300,55000,40.34045524,0.036,0.374,0.021,0.059,0.005,0.011,0.002,1943,Grade A
27,0.052666667,0.237,4.5,47800,66500,37.95012745,0.049,0.408,0.02,0.075,0.01,0.009,0.001,1950,Grade A
13,0.037333333,0.322,8.625,37000,55500,29.08283169,0.051,0.483,0.028,0.054,0.006,0.01,0.001,1957,Grade A
8,0.037333333,0.322,8.625,36100,49000,30.40473264,0.037,0.361,0.021,0.061,0.005,0.012,0.002,1943,Grade A
24,0.022376812,0.193,8.625,45000,51000,32.12202116,0.092,0.381,0.016,0.004,0.051,0.053,0.001,1958,Grade A
1,0.04025,0.322,8,25559,47173,17.41397083,0.039,0.4,0.021,0.011,0.007,0.01,0.001,1929,Grade A
16,0.037333333,0.322,8.625,38200,60000,23.25299725,0.03,0.332,0.015,0.045,0.005,0.006,0.001,1957,Grade A
26,0.04709434,0.312,6.625,47700,54500,46.32325249,0.056,0.44,0.014,0.004,0.046,0.064,0.002,1955,Grade A
0,0.04025,0.322,8,25428,46492,21.0149131,0.053,0.392,0.012,0.009,0.006,0.01,0.001,1929,Grade A
4,0.036521739,0.315,8.625,32796,50860,33.86448879,0.199,0.573,0.027,0.006,0.033,0.141,0.002,1953,Grade A
21,0.019607843,0.25,12.75,40400,53200,17.89200717,0.075,0.405,0.008,0.005,0.033,0.074,0.001,1962,Grade A
23,0.015625,0.375,24,41700,52500,36.5,0.064,0.38,0.021,0.009,0.04,0.124,0.001,1948,Grade A
12,0.015625,0.375,24,37000,53500,44,0.064,0.38,0.021,0.009,0.04,0.124,0.001,1948,Grade A
5,0.015625,0.375,24,35100,51500,42,0.042,0.32,0.011,0.006,0.055,0.112,0.002,1948,Grade A
11,0.033953488,0.365,10.75,36600,52500,31.65663727,0.086,0.405,0.03,0.007,0.008,0.015,0.001,1927,Grade A
15,0.0156,0.312,20,37800,61000,42.17406144,0.039,0.37,0.019,0.058,0.004,0.005,0.002,1929,Grade A
2,0.04025,0.322,8,26652,47054,24.53716785,0.076,0.297,0.028,0.006,0.032,0.008,0.001,1929,Grade A
22,0.0188,0.188,10,40800,60000,41.81397751,0.12,0.54,0.027,0.01,0.008,0.017,0,1928,Grade A
47,0.02855814,0.307,10.75,35309,50591,38.2938564,0.038,0.378,0.013,0.013,0.031,0.022,0.001,1948,Grade B
232,0.028377358,0.188,6.625,54500,68600,22.53323948,0.184,0.701,0.023,0.008,0.09,0.116,0.001,1946,Grade B
77,0.027375,0.438,16,40500,66000,44.76312667,0.259,0.562,0.017,0.007,0.011,0.012,0.001,1953,Grade B
181,0.023536232,0.203,8.625,50000,69500,33.3395374,0.281,0.666,0.021,0.008,0.008,0.016,0.003,1964,Grade B
142,0.037735849,0.25,6.625,47700,72500,32.05831833,0.046,0.825,0.005,0.009,0.056,0.116,0.017,1970,Grade B
224,0.028377358,0.188,6.625,53662,68462,52.20241188,0.241,0.716,0.031,0.031,0.023,0.111,0.001,1956,Grade B
222,0.0125,0.25,20,53500,68500,31.21027792,0.278,0.841,0.016,0.009,0.015,0.017,0.002,1969,Grade B
129,0.028377358,0.188,6.625,46600,66000,44.76161473,0.262,0.715,0.03,0.01,0.052,0.181,0.003,1955,Grade B
119,0.041777778,0.188,4.5,45800,69500,30.80354606,0.16,0.494,0.027,0.012,0.034,0.053,0.001,1975,Grade B
221,0.037333333,0.322,8.625,53500,71000,25.35755071,0.246,0.745,0.018,0.004,0.018,0.02,0.001,1970,Grade B
208,0.017488372,0.188,10.75,52000,72500,42.54727947,0.237,0.713,0.026,0.009,0.024,0.121,0.001,1956,Grade B
84,0.014181818,0.312,22,41500,71000,49.69959824,0.232,0.486,0.04,0.017,0.006,0.009,0.002,1949,Grade B
197,0.019607843,0.25,12.75,51299,76839,56.33957858,0.292,1.01,0.016,0.022,0.011,0.063,0.001,1970,Grade B
151,0.053960784,0.688,12.75,48000,69000,20.91771814,0.248,0.599,0.021,0.006,0.013,0.013,0.003,1966,Grade B
50,0.02855814,0.307,10.75,35619,47387,28.30513614,0.038,0.378,0.013,0.013,0.031,0.022,0.001,1948,Grade B
184,0.024470588,0.312,12.75,50500,66500,43.42169047,0.23,0.49,0.03,0.027,0.06,0.104,0.001,1949,Grade B
121,0.0125,0.25,20,45900,62500,40.69700782,0.22,0.76,0.022,0.009,0.009,0.016,0.002,1974,Grade B
114,0.039215686,0.5,12.75,45600,73000,31.38711977,0.216,0.655,0.007,0.007,0.022,0.015,0.002,1991,Grade B
106,0.026785714,0.375,14,44200,77000,41.88875222,0.2,0.52,0.027,0.026,0.13,0.2,0,1951,Grade B
44,0.033953488,0.365,10.75,34900,53000,51.05617181,0.08,0.413,0.012,0.018,0.011,0.028,0.003,1930,Grade B
178,0.017488372,0.188,10.75,49700,69500,15.33616758,0.261,0.719,0.027,0.012,0.024,0.121,0.001,1956,Grade B
108,0.023255814,0.25,10.75,44500,65500,49.58052229,0.228,0.541,0.021,0.008,0.028,0.06,0.002,1956,Grade B
140,0.042264151,0.28,6.625,47600,63000,38.44359259,0.119,0.468,0.014,0.02,0.013,0.038,0.001,1932,Grade B
204,0.028377358,0.188,6.625,51985,62029,42.67109706,0.096,0.63,0.011,0.003,0.073,0.191,0.007,1960,Grade B
85,0.029411765,0.375,12.75,41519,71107,51.28339932,0.254,0.741,0.018,0.008,0.026,0.025,0,1978,Grade B
246,0.028377358,0.188,6.625,57000,71000,31.49091281,0.149,0.685,0.019,0.008,0.082,0.113,0.002,1946,Grade B
191,0.065207547,0.432,6.625,50700,80100,43.4093455,0.262,0.813,0.013,0.011,0.013,0.008,0.001,1970,Grade B
186,0.020372093,0.219,10.75,50500,66500,35.52453587,0.261,0.765,0.012,0.007,0.023,0.036,0.001,1950,Grade B
34,0.025391304,0.219,8.625,33400,51000,36.03957694,0.149,0.617,0.02,0.018,0.041,0.121,0.001,1953,Grade B
147,0.017488372,0.188,10.75,47900,71000,31.64264976,0.21,0.848,0.031,0.015,0.069,0.047,0.001,1956,Grade B
263,0.041777778,0.188,4.5,60500,72500,42.98634408,0.279,0.709,0.035,0.008,0.045,0.096,0.001,1962,Grade B
97,0.042264151,0.28,6.625,42700,59000,35.69444384,0.221,0.898,0.019,0.011,0.019,0.042,0.001,1977,Grade B
164,0.052666667,0.237,4.5,49000,65100,26.28709618,0.109,0.431,0.035,0.023,0.068,0.164,0.001,1954,Grade B
238,0.02855814,0.307,10.75,55500,71000,15.15983969,0.15,0.588,0.023,0.006,0.009,0.022,0.001,1959,Grade B
75,0.037333333,0.322,8.625,40400,55000,25.96124187,0.089,0.4,0.026,0.014,0.008,0.008,0.001,1905,Grade B
172,0.023536232,0.203,8.625,49600,64000,35.58701799,0.201,0.557,0.021,0.006,0.034,0.042,0.002,1946,Grade B
91,0.010416667,0.25,24,42200,61500,21.24920571,0.215,0.47,0.002,0.004,0.008,0.01,0.001,1970,Grade B
209,0.028377358,0.188,6.625,52000,67000,30.11621596,0.177,0.721,0.032,0.007,0.101,0.101,0.003,1946,Grade B
35,0.02855814,0.307,10.75,33401,49099,41.5993787,0.038,0.378,0.013,0.013,0.031,0.022,0.001,1948,Grade B
138,0.041777778,0.188,4.5,47100,66500,34.67093737,0.205,0.547,0.008,0.013,0.021,0.036,0.001,1989,Grade B
29,0.032115942,0.277,8.625,31300,54000,45.67709664,0.143,0.481,0.022,0.007,0.009,0.044,0.001,1929,Grade B
169,0.025,0.25,10,49465,74285,27.77652461,0.232,0.664,0.017,0.014,0.009,0.015,0.001,1945,Grade B
150,0.052666667,0.237,4.5,47900,76700,24.53739397,0.246,0.658,0.01,0.009,0.041,0.024,0.001,1990,Grade B
141,0.0375,0.375,10,47700,70000,22.87870407,0.228,0.542,0.025,0.028,0.06,0.05,0.001,1948,Grade B
31,0.02855814,0.307,10.75,33065,49868,32.93279264,0.038,0.378,0.013,0.013,0.031,0.022,0.001,1948,Grade B
180,0.028377358,0.188,6.625,49900,66000,49.47630253,0.186,0.668,0.032,0.011,0.073,0.134,0.003,1946,Grade B
57,0.027375,0.438,16,38000,62000,27.61464361,0.194,0.534,0.014,0.005,0.01,0.011,0.001,1953,Grade B
215,0.0156,0.312,20,53000,73500,30.36827887,0.224,0.09,0.015,0.009,0.022,0.017,0.001,1987,Grade B
189,0.037333333,0.322,8.625,50600,65000,34.81042206,0.182,0.636,0.013,0.006,0.013,0.01,0.001,1957,Grade B
193,0.037333333,0.322,8.625,51000,63000,34.3867681,0.215,0.639,0.013,0.007,0.014,0.011,0.001,1957,Grade B
249,0.041777778,0.188,4.5,57500,69000,26.5784067,0.137,0.63,0.016,0.004,0.045,0.058,0.001,1965,Grade B
74,0.027375,0.438,16,40400,64500,28.93218596,0.254,0.563,0.02,0.007,0.011,0.012,0.001,1953,Grade B
183,0.032115942,0.277,8.625,50164,77529,47.20020468,0.153,0.427,0.024,0.079,0.006,0.012,0.001,1945,Grade B
67,0.022285714,0.312,14,39500,67500,20.30443639,0.239,0.56,0.015,0.009,0.005,0.002,0.001,1983,Grade B
171,0.017488372,0.188,10.75,49500,62000,32.84187136,0.217,0.548,0.016,0.008,0.029,0.067,0.001,1956,Grade B
274,0.028377358,0.188,6.625,68500,82000,39.71512023,0.17,0.52,0.017,0.005,0.059,0.013,0,1973,Grade B
223,0.015625,0.25,16,53500,70000,39.81544676,0.142,0.68,0.02,0.007,0.047,0.047,0.001,1940,Grade B
161,0.015625,0.25,16,48800,60000,42.55942506,0.059,0.334,0.056,0.098,0.004,0.005,0.001,1953,Grade B
115,0.02855814,0.307,10.75,45600,73000,47.13307983,0.192,0.896,0.019,0.027,0.01,0.03,0.001,1929,Grade B
100,0.027375,0.438,16,43000,66500,32.96387304,0.271,0.459,0.027,0.007,0.017,0.023,0.001,1951,Grade B
255,0.041777778,0.188,4.5,58000,68500,19.58515446,0.183,0.46,0.006,0.005,0.102,0.276,0.001,1969,Grade B
64,0.015625,0.25,16,39100,55500,43.00636129,0.059,0.334,0.056,0.098,0.004,0.005,0.001,1953,Grade B
105,0.052666667,0.237,4.5,44100,73500,37.236382,0.246,0.663,0.008,0.01,0.036,0.014,0.001,1990,Grade B
179,0.023255814,0.25,10.75,49700,65900,24.03331287,0.172,0.65,0.016,0.009,0.016,0.017,0.001,1956,Grade B
