ID,Yield_Strength,Tensile_Strength,C,Mn,Nb,Pipe_Vintage,Pipe_Grade
1,37900,66000,2.60E-01,7.70E-01,2.00E-04,1953,3
2,51900,78700,1.40E-01,8.80E-01,0.00E+00,1962,5
3,52700,79000,1.40E-01,8.80E-01,0.00E+00,1956,5
4,48650,69100,2.70E-01,5.40E-01,0.00E+00,1953,2
5,55900,68650,2.10E-01,1.02E+00,2.10E-02,1960,5
6,61000,86300,2.40E-01,1.09E+00,0.00E+00,1962,5
7,61100,84300,2.80E-01,1.19E+00,0.00E+00,1962,5
8,52200,84500,2.70E-01,1.12E+00,0.00E+00,1960,5
9,46200,62800,8.70E-02,4.80E-01,0.00E+00,1953,5
10,54250,72500,3.20E-01,9.20E-01,0.00E+00,1956,5
11,67750,93250,2.50E-01,1.09E+00,0.00E+00,1968,5
12,69250,92750,2.90E-01,1.14E+00,0.00E+00,1967,5
13,56500,67500,2.00E-01,1.10E+00,2.10E-02,1953,5
14,48500,60500,2.40E-01,7.20E-01,0.00E+00,1953,3
15,60500,69500,2.40E-01,7.20E-01,0.00E+00,1953,3
16,57000,74000,2.70E-01,1.06E+00,0.00E+00,1956,5
17,59000,79500,2.30E-01,1.00E+00,0.00E+00,1960,5
18,41800,66500,2.40E-01,4.80E-01,0.00E+00,1952,2
19,61500,84000,3.20E-01,1.10E+00,0.00E+00,1960,5
20,50000,72500,2.40E-01,8.90E-01,3.00E-03,1962,2
21,68500,82000,1.70E-01,5.20E-01,0.00E+00,1973,2
22,49000,77000,2.40E-01,6.00E-01,2.00E-03,1952,4
23,44200,77000,2.00E-01,5.20E-01,0.00E+00,1951,2
24,67000,93000,3.20E-01,1.00E+00,2.90E-02,1950,5
25,73000,81000,2.90E-01,1.00E+00,0.00E+00,1953,5
26,62000,89000,2.90E-01,1.04E+00,0.00E+00,1950,5
27,56000,74000,2.30E-01,1.12E+00,1.30E-02,1953,5
28,60500,83000,2.10E-01,1.07E+00,0.00E+00,1962,5
29,64500,82000,2.30E-01,1.03E+00,0.00E+00,1953,5
30,71300,89400,6.90E-02,9.90E-01,5.10E-02,1982,7
31,53500,76000,2.30E-01,9.30E-01,0.00E+00,1962,5
32,55500,73500,2.80E-01,1.07E+00,0.00E+00,1953,5
33,53500,75500,2.90E-01,7.10E-01,0.00E+00,1949,5
34,55800,81000,2.50E-01,1.10E+00,0.00E+00,1956,5
