ID,Pipe OD,Pipe WT,Yield_Strength,Tensile_Strength,%C,%Mn,%S,%P,%Si,%Al,%Cr,%Mo,%V,%Ni,%Cu,%Ti,%Nb,Pipe Vintage,Pipe Grade
269,8.625,0.277,32400,51000,0.096,0.414,0.033,0.01,0.015,0.022,0.012,0.005,0,0.023,0.024,0.002,0.001,1888,Grade A
675,8.625,0.315,32796,50860,0.199,0.573,0.027,0.006,0.012,0.003,0.06,0.004,0,0.033,0.141,0.001,0.002,1953,Grade A
232,24,0.375,35100,51500,0.042,0.32,0.011,0.006,0.002,0.002,0.023,0.008,0.001,0.055,0.112,0.002,0.002,1948,Grade A
160,8.625,0.188,35500,53000,0.087,0.44,0.038,0.01,0.032,0.012,0.021,0.009,0,0.017,0.041,0,0,1928,Grade A
232,24,0.375,36000,51000,0.042,0.32,0.011,0.006,0.002,0.002,0.023,0.008,0.001,0.055,0.112,0.002,0.002,1948,Grade A
401,8.625,0.322,36100,49000,0.036,0.374,0.021,0.059,0.006,0.002,0.005,0.005,0.002,0.005,0.011,0.002,0.002,1943,Grade A
401,8.625,0.322,36100,49000,0.048,0.366,0.02,0.005,0.001,0,0.009,0.005,0,0.008,0.022,0.002,0.002,1943,Grade A
401,8.625,0.322,36100,49000,0.037,0.361,0.021,0.061,0.003,0.001,0.005,0.005,0.002,0.005,0.012,0.002,0.002,1943,Grade A
237,24,0.375,36300,56000,0.099,0.49,0.026,0.011,0.045,0.003,0.024,0.006,0.001,0.049,0.097,0.002,0.001,1948,Grade A
237,24,0.375,36300,56000,0.064,0.38,0.021,0.009,0.056,0.002,0.013,0.005,0.001,0.04,0.124,0.002,0.001,1948,Grade A
1303,4.5,0.237,36500,57500,0.073,0.413,0.023,0.051,0.004,0.013,0.015,0.004,0,0.023,0.044,0.001,0.001,1951,Grade A
428,10.75,0.365,36600,52500,0.086,0.405,0.03,0.007,0.03,0.011,0.007,0.003,0,0.008,0.015,0.002,0.001,1927,Grade A
237,24,0.375,37000,53500,0.099,0.49,0.026,0.011,0.045,0.003,0.024,0.006,0.001,0.049,0.097,0.002,0.001,1948,Grade A
237,24,0.375,37000,53500,0.064,0.38,0.021,0.009,0.056,0.002,0.013,0.005,0.001,0.04,0.124,0.002,0.001,1948,Grade A
237,24,0.375,37400,56000,0.099,0.49,0.026,0.011,0.045,0.003,0.024,0.006,0.001,0.049,0.097,0.002,0.001,1948,Grade A
237,24,0.375,37400,56000,0.064,0.38,0.021,0.009,0.056,0.002,0.013,0.005,0.001,0.04,0.124,0.002,0.001,1948,Grade A
141,20,0.312,37800,61000,0.039,0.37,0.019,0.058,0.006,0.002,0.005,0,0.002,0.004,0.005,0.002,0.002,1929,Grade A
141,20,0.312,37800,61000,0.044,0.35,0.012,0.061,0.011,0.001,0.005,0,0.003,0.004,0.005,0.002,0.002,1929,Grade A
401,8.625,0.322,38300,55000,0.036,0.374,0.021,0.059,0.006,0.002,0.005,0.005,0.002,0.005,0.011,0.002,0.002,1943,Grade A
401,8.625,0.322,38300,55000,0.048,0.366,0.02,0.005,0.001,0,0.009,0.005,0,0.008,0.022,0.002,0.002,1943,Grade A
401,8.625,0.322,38300,55000,0.037,0.361,0.021,0.061,0.003,0.001,0.005,0.005,0.002,0.005,0.012,0.002,0.002,1943,Grade A
141,20,0.312,38300,60000,0.039,0.37,0.019,0.058,0.006,0.002,0.005,0,0.002,0.004,0.005,0.002,0.002,1929,Grade A
141,20,0.312,38300,60000,0.044,0.35,0.012,0.061,0.011,0.001,0.005,0,0.003,0.004,0.005,0.002,0.002,1929,Grade A
1208,12.75,0.25,38500,46800,0.052,0.363,0.012,0.003,0.004,0.001,0.02,0.007,0,0.031,0.049,0.001,0.001,1962,Grade A
1208,12.75,0.25,38500,46800,0.075,0.405,0.008,0.005,0.008,0.004,0.022,0.009,0,0.033,0.074,0.001,0.001,1962,Grade A
567,10.75,0.365,39100,55500,0.105,0.427,0.028,0.01,0.044,0.004,0.006,0.003,0,0.011,0.01,0.002,0.001,1927,Grade A
1208,12.75,0.25,40400,53200,0.052,0.363,0.012,0.003,0.004,0.001,0.02,0.007,0,0.031,0.049,0.001,0.001,1962,Grade A
1208,12.75,0.25,40400,53200,0.075,0.405,0.008,0.005,0.008,0.004,0.022,0.009,0,0.033,0.074,0.001,0.001,1962,Grade A
165,10.75,0.188,40800,60000,0.12,0.54,0.027,0.01,0.051,0.01,0.017,0.003,0,0.008,0.017,0,0,1928,Grade A
237,24,0.375,41700,52500,0.099,0.49,0.026,0.011,0.045,0.003,0.024,0.006,0.001,0.049,0.097,0.002,0.001,1948,Grade A
237,24,0.375,41700,52500,0.064,0.38,0.021,0.009,0.056,0.002,0.013,0.005,0.001,0.04,0.124,0.002,0.001,1948,Grade A
163,10.75,0.188,42100,58000,0.1,0.48,0.032,0.009,0.062,0.005,0.02,0.003,0,0.008,0.018,0,0,1928,Grade A
