Struct_ID, OD_WT_Ratio,Pipe_WT,Pipe_OD,Yield_Strength,Tensile_Strength,Pipe Vintage,%C,%Mn,%S,%Si,%P,%Al,%Cr,%Mo,%V,%Ni,%Cu,%Sn,%Ti,%Nb,%Co,Pipe_Grade
1,0.521032743,1,-0.545205479,-0.262875706,-0.363636364,-0.125,0.316129032,-0.354254677,-0.738693467,-0.982683983,-0.886792453,-0.981818182,-0.791666667,-0.975510204,-1,-0.954545455,-0.857988166,-0.918699187,-0.92,-0.97826087,-0.8,3
2,0.376056494,0.8016,-0.545205479,-0.288106727,-0.253918495,0.089285714,0.406451613,-0.377187689,-0.798994975,-0.406926407,-0.943396226,-0.636363636,-0.916666667,-0.844897959,-0.974358974,-0.970454545,-0.948717949,-0.967479675,-0.84,-0.934782609,-0.7,2
3,-0.789056516,0.6,0.736986301,0.673825969,0.639498433,0.839285714,-0.832258065,0.794809897,-0.979899497,0.082251082,-0.754716981,-0.363636364,-0.265625,0.689795918,-0.794871795,-0.802272727,0.293885602,-0.788617886,1.32,0.630434783,-0.65,8
4,-0.4563147,0.6,-0.052054795,0.405746365,0.137931034,0.642857143,-0.703225806,0.456849728,-0.969849246,0.194805195,-0.79245283,-0.236363636,-0.885416667,-0.951020408,0.743589744,-0.988636364,-0.964497041,-0.967479675,-0.76,-0.217391304,-0.85,7
5,-0.197515544,0.6,-0.315068493,0.3584382,0.34169279,0.625,-0.709677419,0.674109837,-0.979899497,0.445887446,-0.943396226,-0.509090909,-0.786458333,-0.73877551,-0.128205128,-0.786363636,0.147928994,-0.788617886,0.6,-0.086956522,-0.5,7
6,-0.245134585,0.296,-0.402739726,-0.348030403,-0.097178683,-0.017857143,0.180645161,0.087507544,-0.788944724,-0.818181818,-0.924528302,-0.781818182,-0.953125,-0.910204082,-0.974358974,-0.981818182,-0.968441815,-1,-0.36,-0.97826087,-0.8,3
7,-0.818633549,0.2,0.473972603,0.468823919,0.373040752,0.928571429,-0.961290323,0.782739891,-1,0.181818182,-0.886792453,-0.272727273,-0.640625,0.640816327,-1,-0.804545455,0.025641026,-0.821138211,0.12,0.456521739,-0.65,8
8,-0.818633549,0.2,0.473972603,0.487747185,0.426332288,0.928571429,-0.909677419,1.012070006,-0.979899497,0.181818182,-0.867924528,-0.236363636,0.244791667,-0.004081633,-0.974358974,-0.813636364,0.124260355,-0.804878049,0.2,0.652173913,-0.55,8
9,-0.818633549,0.2,0.473972603,0.544516984,0.369905956,0.928571429,-0.987096774,0.782739891,-1,0.212121212,-0.830188679,-0.418181818,-0.489583333,0.673469388,-0.974358974,-0.825,-0.025641026,-0.837398374,0.12,0.47826087,-0.7,8
10,-0.818633549,0.2,0.473972603,0.561074842,0.482758621,0.928571429,-0.903225806,1,-0.979899497,0.134199134,-0.811320755,-0.327272727,0.213541667,-0.387755102,-0.974358974,-0.790909091,0.360946746,-0.739837398,0.12,0.543478261,-0.6,8
11,-0.818633549,0.2,0.473972603,0.594979027,0.554858934,0.928571429,-0.896774194,1,-1,0.134199134,-0.79245283,-0.218181818,0.265625,0.020408163,-0.974358974,-0.834090909,-0.179487179,-0.837398374,0.44,0.673913043,-0.65,8
12,-0.818633549,0.2,0.473972603,0.708518624,0.507836991,0.928571429,-0.890322581,0.770669885,-0.989949749,-0.112554113,-0.867924528,-0.272727273,0.177083333,-0.942857143,-0.974358974,-0.647727273,-0.104536489,-0.983739837,-0.04,0.782608696,0.7,8
13,-0.818633549,0.2,0.473972603,0.721134134,0.523510972,0.928571429,-0.922580645,1.012070006,-0.979899497,0.168831169,-0.886792453,-0.254545455,0.286458333,-0.412244898,-0.974358974,-0.797727273,-0.140039448,-0.837398374,0.36,0.434782609,-0.55,8
14,-0.818633549,0.2,0.473972603,0.733749645,0.592476489,0.928571429,-0.948387097,0.758599879,-0.979899497,-0.225108225,-0.849056604,-0.272727273,0.307291667,-0.951020408,-0.897435897,-0.670454545,-0.112426036,-0.983739837,0.04,0.717391304,0.7,8
15,-0.555128932,0.2,-0.139726027,-0.303876116,-0.028213166,-0.214285714,0.432258065,-0.104405552,-0.748743719,-0.329004329,-0.867924528,-0.872727273,-0.96875,-0.951020408,-1,-0.979545455,-0.964497041,-0.983739837,-0.92,-0.97826087,-0.9,3
16,-0.555128932,0.2,-0.139726027,-0.281798972,-0.018808777,-0.214285714,0.658064516,-0.094749547,-0.849246231,-0.380952381,-0.716981132,-0.981818182,-0.942708333,-0.942857143,-1,-0.965909091,-0.940828402,-0.983739837,-0.92,-0.97826087,-0.9,3
17,-0.555128932,0.2,-0.139726027,-0.278645094,-0.018808777,-0.214285714,0.587096774,-0.097163549,-0.849246231,-0.376623377,-0.754716981,-0.890909091,-0.953125,-0.951020408,-1,-0.968181818,-0.944773176,-0.983739837,-0.92,-0.97826087,-0.9,3
18,-0.555128932,0.2,-0.139726027,-0.193490396,0.059561129,-0.214285714,0.490322581,-0.088714544,-0.748743719,-0.380952381,-0.735849057,-0.836363636,-0.942708333,-0.934693878,-1,-0.963636364,-0.936883629,-0.967479675,-0.92,-0.97826087,-0.85,3
19,-0.487370611,0.2,-0.22739726,-0.622417763,-0.394984326,-0.107142857,0.451612903,-0.338563669,-0.768844221,-0.865800866,-0.924528302,-0.890909091,-0.921875,-0.967346939,-0.974358974,-0.979545455,-0.952662722,-0.983739837,-0.52,-0.97826087,-0.75,2
20,-0.487370611,0.2,-0.22739726,-0.344876526,-0.253918495,-0.160714286,0.348387097,-0.117682559,-0.728643216,-0.891774892,-0.622641509,-0.909090909,-0.619791667,-0.951020408,-1,-0.911363636,-0.818540434,-0.93495935,-0.92,-0.956521739,-0.8,3
21,-0.404554869,0.2,-0.315068493,0.721134134,1.062695925,0.267857143,0.787096774,0.167169584,-0.849246231,-0.922077922,-0.754716981,-0.890909091,-0.75,-0.910204082,-1,-0.977272727,-0.956607495,-1,-0.92,-0.97826087,-0.85,3
