ID,OD_WT_Ratio,Pipe_WT,Pipe_OD,Yield_Strength,Tensile_Strength,Pipe_Vintage,C,Mn,Nb,YS/TS,C/Mn,WT/OD*YS,WT*OD*C*Mn,YS*C,YS*Mn,WT*YS*C,WT*OD*YS*Mn,WT*OD*YS*TS*C*Mn,Pipe_Grade
233,0.0156,0.312,20,37800,61000,1929,0.039,0.37,0.002,0.62,0.105,589.7,0.0900,1474,13986,460.0,87273,0.05580,1
234,0.0156,0.312,20,38300,60000,1929,0.044,0.35,0.002,0.64,0.126,597.5,0.0961,1685,13405,525.8,83647,0.06134,1
72,0.015625,0.375,24,35100,51500,1948,0.042,0.32,0.002,0.68,0.131,548.4,0.1210,1474,11232,552.8,101088,0.08244,1
73,0.015625,0.375,24,36300,56000,1948,0.099,0.49,0.001,0.65,0.202,567.2,0.4366,3594,17787,1347.6,160083,0.28300,1
74,0.015625,0.375,24,37000,53500,1948,0.064,0.38,0.001,0.69,0.168,578.1,0.2189,2368,14060,888.0,126540,0.15137,1
75,0.015625,0.375,24,37400,56000,1948,0.099,0.49,0.001,0.67,0.202,584.4,0.4366,3703,18326,1388.5,164934,0.29158,1
76,0.015625,0.375,24,41700,52500,1948,0.064,0.38,0.001,0.79,0.168,651.6,0.2189,2669,15846,1000.8,142614,0.17385,1
853,0.0188,0.188,10,40800,60000,1928,0.12,0.54,0,0.68,0.222,767.0,0.1218,4896,22032,920.4,41420,0.08284,1
854,0.0188,0.188,10,47900,53500,1928,0.1,0.48,0,0.90,0.208,900.5,0.0902,4790,22992,900.5,43225,0.08079,1
482,0.019607843,0.25,12.75,38500,46800,1962,0.052,0.363,0.001,0.82,0.143,754.9,0.0602,2002,13976,500.5,44547,0.04950,1
483,0.019607843,0.25,12.75,40400,53200,1962,0.075,0.405,0.001,0.76,0.185,792.2,0.0968,3030,16362,757.5,52154,0.07353,1
855,0.021797101,0.188,8.625,35500,53000,1928,0.087,0.44,0,0.67,0.198,773.8,0.0621,3089,15620,580.6,25328,0.04158,1
805,0.022376812,0.193,8.625,45000,51000,1958,0.092,0.381,0.001,0.88,0.241,1007.0,0.0583,4140,17145,799.0,28540,0.05148,1
143,0.033953488,0.365,10.75,36600,52500,1927,0.086,0.405,0.001,0.70,0.212,1242.7,0.1367,3148,14823,1148.9,58162,0.09527,1
144,0.033953488,0.365,10.75,39100,55500,1927,0.105,0.427,0.001,0.70,0.246,1327.6,0.1759,4106,16696,1498.5,65510,0.12394,1
209,0.036521739,0.315,8.625,32796,50860,1953,0.199,0.573,0.002,0.64,0.347,1197.8,0.3098,6526,18792,2055.8,51056,0.19977,1
185,0.037333333,0.322,8.625,36100,49000,1943,0.037,0.361,0.002,0.74,0.102,1347.7,0.0371,1336,13032,430.1,36193,0.02733,1
186,0.037333333,0.322,8.625,37000,55500,1957,0.051,0.483,0.001,0.67,0.106,1381.3,0.0684,1887,17871,607.6,49632,0.04561,1
189,0.037333333,0.322,8.625,38200,60000,1957,0.03,0.332,0.001,0.64,0.090,1426.1,0.0277,1146,12682,369.0,35222,0.01761,1
190,0.037333333,0.322,8.625,38300,55000,1943,0.036,0.374,0.002,0.70,0.096,1429.9,0.0374,1379,14324,444.0,39782,0.02604,1
1296,0.04025,0.322,8,25559,47173,1929,0.039,0.4,0.001,0.54,0.098,1028.7,0.0402,997,10224,321.0,26336,0.02177,1
1297,0.04025,0.322,8,26652,47054,1929,0.076,0.297,0.001,0.57,0.256,1072.7,0.0581,2026,7916,652.2,20391,0.03293,1
1298,0.04025,0.322,8,25428,46492,1929,0.053,0.392,0.001,0.55,0.135,1023.5,0.0535,1348,9968,434.0,25677,0.02927,1
1278,0.045735849,0.303,6.625,29214,52386,1929,0.105,0.506,0.001,0.56,0.208,1336.1,0.1067,3067,14782,929.4,29674,0.05948,1
277,0.04709434,0.312,6.625,46400,53500,1955,0.045,0.415,0.002,0.87,0.108,2185.2,0.0386,2088,19256,651.5,39802,0.03348,1
278,0.04709434,0.312,6.625,47700,54500,1955,0.056,0.44,0.002,0.88,0.127,2246.4,0.0509,2671,20988,833.4,43382,0.04458,1
636,0.052666667,0.237,4.5,36500,57500,1951,0.073,0.413,0.001,0.63,0.177,1922.3,0.0322,2665,15075,631.5,16077,0.02041,1
639,0.052666667,0.237,4.5,47800,66500,1950,0.049,0.408,0.001,0.72,0.120,2517.5,0.0213,2342,19502,555.1,20799,0.01533,1
1268,0.05475,0.219,4,35453,60037,1958,0.123,0.607,0.001,0.59,0.203,1941.1,0.0654,4361,21520,955.0,18851,0.03862,1
390,0.010416667,0.25,24,42200,61500,1970,0.215,0.47,0.001,0.69,0.457,439.6,0.6063,9073,19834,2268.3,119004,0.41603,2
413,0.0125,0.25,20,45900,62500,1974,0.22,0.76,0.002,0.73,0.289,573.8,0.8360,10098,34884,2524.5,174420,0.61396,2
414,0.0125,0.25,20,49700,65000,1974,0.22,0.76,0.002,0.76,0.289,621.3,0.8360,10934,37772,2733.5,188860,0.63922,2
415,0.0125,0.25,20,51500,66500,1974,0.22,0.76,0.002,0.77,0.289,643.8,0.8360,11330,39140,2832.5,195700,0.64743,2
416,0.0125,0.25,20,53500,68500,1969,0.278,0.841,0.002,0.78,0.331,668.8,1.1690,14873,44994,3718.3,224968,0.91301,2
336,0.01405,0.281,20,42100,64500,1958,0.271,0.441,0.001,0.65,0.615,591.5,0.6717,11409,18566,3206.0,104341,0.43840,2
228,0.014181818,0.312,22,41500,71000,1949,0.232,0.486,0.002,0.58,0.477,588.5,0.7739,9628,20169,3003.9,138440,0.45237,2
229,0.014181818,0.312,22,48300,74000,1949,0.232,0.486,0.002,0.65,0.477,685.0,0.7739,11206,23474,3496.1,161124,0.50515,2
236,0.0156,0.312,20,46600,68500,1971,0.165,1.06,0.001,0.68,0.156,727.0,1.0914,7689,49396,2399.0,308231,0.74245,2
241,0.0156,0.312,20,53000,73500,1987,0.224,0.09,0.001,0.72,2.489,826.8,0.1258,11872,4770,3704.1,29765,0.09071,2
244,0.0156,0.312,20,60500,78000,1971,0.225,0.94,0.018,0.78,0.239,943.8,1.3198,13613,56870,4247.1,354869,1.02366,2
432,0.015625,0.25,16,39100,55500,1953,0.059,0.334,0.001,0.70,0.177,610.9,0.0788,2307,13059,576.7,52238,0.05553,2
433,0.015625,0.25,16,39800,61500,1940,0.132,0.451,0.001,0.65,0.293,621.9,0.2381,5254,17950,1313.4,71799,0.15411,2
436,0.015625,0.25,16,48800,60000,1953,0.059,0.334,0.001,0.81,0.177,762.5,0.0788,2879,16299,719.8,65197,0.06411,2
