ID,Pipe_OD,Pipe_WT,Yield_Strength,Tensile_Strength,Elongation,%C,%Mn,%S,%P,%Si,%Al,%Cr,%Mo,%Ni,%Cu,%Nb,CE(IIW),Pipe_Grade
43,34,0.312,61100,84300,25,0.28,1.19,0.019,0.014,0.032,0,0.032,0.014,0.06,0.051,0,0.4949333,X52
42,34,0.281,61000,86300,26.5,0.24,1.09,0.017,0.009,0.033,0,0.029,0.013,0.043,0.021,0,0.4343333,X52
25,12.75,0.25,51900,78700,32.5,0.14,0.88,0.01,0.01,0.096,0.01,0.013,0.014,0.014,0.02,0,0.2987333,X52
25,12.75,0.25,52700,79000,31,0.14,0.88,0.01,0.01,0.096,0.01,0.013,0.014,0.014,0.02,0,0.2987333,X52
22,12.75,0.281,37900,66000,38,0.26,0.77,0.019,0.013,0,0.035,0.025,0.014,0.041,0.045,0.0002,0.4018666,X42
58,20,0.23,57000,74000,30.2,0.27,1.06,0.015,0.007,0.059,0,0.019,0.011,0.027,0.062,0,0.4586,X52
55,16,0.312,48500,60500,33.6,0.24,0.72,0.04,0.01,0.005,0.028,0.024,0.013,0.047,0.087,0,0.3763333,X42
55,16,0.312,60500,69500,36.5,0.24,0.72,0.04,0.01,0.005,0.028,0.024,0.013,0.047,0.087,0,0.3763333,X42
51,8.625,0.219,54250,72500,28.2,0.32,0.92,0.021,0.006,0.006,0.016,0.013,0.012,0.018,0.074,0,0.4844667,X52
51,8.625,0.219,67750,93250,20.5,0.25,1.09,0.014,0.008,0.006,0.002,0.009,0.011,0.009,0.021,0,0.4376667,X52
51,8.625,0.219,69250,92750,25.3,0.29,1.14,0.018,0.009,0.003,0.005,0.009,0.011,0.008,0.016,0,0.4856,X52
51,8.625,0.219,74250,105500,19.5,0.31,1.17,0.03,0.011,0.006,0.004,0.009,0.014,0.008,0.015,0,0.5111333,X52
50,18,0.312,56500,67500,27.9,0.2,1.1,0.024,0.015,0.076,0.002,0.025,0.01,0.011,0.072,0.021,0.3958667,X52
49,30,0.312,46200,62800,23.2,0.087,0.48,0.027,0.009,0.07,0.005,0.029,0.041,0.083,0.127,0,0.195,X52
28,10.75,0.188,62500,83000,27,0.24,1.12,0.02,0.15,0.25,0.005,0.032,0.018,0.058,0.13,0.01,0.4492,X52
26,12.75,0.281,48650,69100,28.4,0.27,0.54,0.031,0.007,0.036,0.008,0.022,0.008,0.019,0.031,0,0.3693334,Grade B
72,30,0.281,52200,84500,35,0.27,1.12,0.032,0.014,0.017,0.005,0.025,0.015,0.034,0.054,0,0.4705333,X52
75,24,0.406,63300,85900,32,0.23,1.11,0.03,0.015,0.03,0.01,0.04,0.03,0.05,0.09,0,0.4403333,X60
79,6.625,0.188,68500,82000,27.5,0.17,0.52,0.017,0.005,0.031,0,0.04,0.018,0.059,0.013,0,0.2730667,Grade B
79,6.625,0.188,76500,87500,28,0.2,0.54,0.018,0.006,0.036,0.002,0.041,0.02,0.061,0.013,0,0.3071333,Grade B
76,18,0.312,55900,68650,31,0.21,1.02,0.019,0.011,0.057,0,0.012,0.01,0.02,0.076,0.021,0.3908,X52
77,12.75,0.25,50000,72500,27,0.24,0.89,0.039,0.012,0,0.007,0.018,0.012,0.01,0.014,0.003,0.3959333,Grade B
83,10.75,0.25,49000,77000,30.7,0.24,0.6,0.018,0.008,0.17,0.01,0.02,0.023,0.032,0.04,0.002,0.3534,X46
85,14,0.375,44200,77000,29,0.2,0.52,0.027,0.026,0.2,0.016,0.057,0.02,0.13,0.2,0,0.3240667,Grade B
86,30,0.281,59000,79500,32.1,0.23,1,0.037,0.02,0.023,0.005,0.027,0.013,0.11,0.043,0,0.4148667,X52
88,12.75,0.219,61500,84000,25,0.32,1.1,0.017,0.011,0.01,0.007,0.016,0.011,0.009,0.019,0,0.5106,X52
87,12.75,0.219,67000,93000,25,0.32,1,0.017,0.012,0.007,0.006,0.015,0.013,0.013,0.02,0.029,0.4944667,X52
89,26,0.281,62000,89000,28,0.29,1.04,0.023,0.01,0.033,0.001,0.023,0.016,0.034,0.048,0,0.4766,X52
90,26,0.281,73000,81000,29,0.29,1,0.023,0.01,0.088,0,0.16,0.01,0.036,0.07,0,0.4977333,X52
92,8.625,0.203,56000,74000,29,0.23,1.12,0.023,0.009,0.006,0,0.028,0.013,0.057,0.17,0.013,0.44,X52
95,20,0.312,71300,89400,29.4,0.069,0.99,0.004,0.009,0.19,0.071,0.02,0.011,0.013,0.016,0.051,0.2421333,X65
101,8.625,0.188,60500,83000,21,0.21,1.07,0.021,0.014,0.11,0.011,0.02,0.02,0.022,0.02,0,0.3991333,X52
103,26,0.3125,64500,82000,28,0.23,1.03,0.032,0.025,0.06,0,0.13,0.04,0.072,0.2,0,0.4538,X52
105,26,0.281,53500,76000,34,0.23,0.93,0.024,0.019,0.032,0,0.057,0.012,0.053,0.096,0,0.4087333,X52
106,12.75,0.219,55500,73500,33,0.28,1.07,0.021,0.01,0.005,0.03,0.013,0,0.033,0,0,0.4665333,X52
107,18,0.281,53500,75500,30,0.29,0.71,0.03,0.017,0.032,0.001,0.02,0.014,0.076,0.067,0,0.4246666,X52
108,16,0.312,59900,74500,33,0.29,0.88,0.032,0.017,0.002,0.007,0.022,0.012,0.013,0.034,0,0.4466,X42
109,14,0.312,52000,83500,26,0.28,1.23,0.029,0.011,0.067,0.015,0.021,0.01,0.007,0.01,0,0.4923334,X45
132,20,0.344,55800,81000,28,0.25,1.1,0.029,0.016,0.048,0,0.02,0.004,0.037,0.14,0,0.4531333,X52
132,20,0.344,57000,76000,30,0.27,1.1,0.03,0.012,0.064,0,0.019,0.004,0.035,0.14,0.001,0.474,X52
132,20,0.344,69500,79000,31,0.23,0.93,0.032,0.014,0.038,0.001,0.026,0.005,0.032,0.14,0,0.405,X52
112,5.5,0.304,64500,106000,27,0.41,0.91,0.033,0.017,0.28,0.022,0.057,0.037,0.09,0.12,0,0.5944667,J-55
113,34,0.281,54000,83200,34,0.23,0.121,0.014,0.01,0.018,0.005,0.025,0.012,0.012,0.015,0,0.2593667,X52
114,34,0.281,56500,80000,35,0.25,1.31,0.012,0.005,0.016,0,0.042,0.01,0.018,0.021,0,0.4813333,X52
115,36,0.281,54000,78500,30,0.22,0.7,0.023,0.008,0.21,0.002,0.042,0.009,0.07,0.2,0.008,0.3650667,X52
116,24,0.25,64700,82200,27,0.25,0.75,0.028,0.018,0.24,0.003,0.1,0.044,0.15,0.21,0,0.428,X52
118,24,0.25,52900,74200,32,0.23,0.75,0.04,0.019,0.038,0,0.026,0.012,0.086,0.23,0,0.3838667,X52
117,24,0.25,66000,78700,29,0.27,0.9,0.024,0.018,0.048,0.001,0.018,0.01,0.062,0.2,0,0.4430667,X52
380,26,0.375,69000,92700,25,0.27,1.18,0.015,0.008,0.034,0,0.01,0.008,0.037,0.076,0.009,0.478,X60
380,26,0.375,71000,98500,28,0.27,1.18,0.015,0.008,0.034,0,0.01,0.008,0.037,0.076,0.009,0.478,X60
121,48,0.406,58800,80900,31,0.19,1.37,0.021,0.017,0.27,0.043,0.008,0.002,0.011,0.031,0,0.4233333,X52
127,8.625,0.156,52000,71000,30,0.22,1.02,0.013,0.007,0.007,0,0.029,0.015,0.063,0.14,0,0.4123333,X46
123,24,0.25,57500,78500,30,0.23,0.79,0.025,0.04,0.055,0,0.028,0.005,0.04,0.19,0,0.3838,X52
124,24,0.25,58000,77000,29,0.22,0.82,0.028,0.019,0.054,0.007,0.035,0.007,0.035,0.17,0,0.3789333,X52
125,24,0.25,58000,79000,26,0.27,0.73,0.017,0.023,0.025,0.005,0.028,0.009,0.075,0.18,0,0.4162667,X52
126,24,0.25,59000,78000,27,0.23,0.76,0.026,0.029,0.052,0.004,0.037,0.014,0.11,0.23,0,0.3897333,X52
129,24,0.25,59000,83000,25,0.24,0.89,0.023,0.024,0.057,0.003,0.032,0.084,0.084,0.25,0,0.434,X52
128,24,0.25,65000,85000,25,0.27,0.82,0.017,0.049,0.047,0,0.057,0.01,0.098,0.17,0,0.4381334,X52
130,10,0.307,45800,70500,30,0.24,0.73,0.026,0.013,0.006,0.006,0.028,0.002,0.023,0.12,0,0.3774,X42
