ID,OD_WT_Ratio,Pipe_WT,Pipe_OD,Yield_Strength,Tensile_Strength,Pipe Vintage,%C,%Mn,%S,%Si,%P,%Al,%Cr,%Mo,%V,%Ni,%Cu,%Sn,%Ti,%Nb,%Co,binary
1,0.058823529000000006,0.75,12.75,48800,65500,1954,0.23399999999999999,0.618,0.027000000000000003,0.004,0.009000000000000001,0.001,0.042,0.003,0.0,0.02,0.036000000000000004,0.005,0.001,0.001,0.004,0
2,0.053960784000000005,0.688,12.75,48000,69000,1966,0.248,0.599,0.021,0.13699999999999998,0.006,0.02,0.018000000000000002,0.019,0.001,0.013000000000000001,0.013000000000000001,0.002,0.002,0.003,0.006,0
3,0.014880952,0.625,42.0,78500,97500,2008,0.055999999999999994,1.57,0.003,0.25,0.016,0.035,0.14300000000000002,0.207,0.008,0.087,0.32799999999999996,0.013000000000000001,0.028999999999999998,0.075,0.006999999999999999,0
4,0.026041667,0.625,24.0,70000,81500,1997,0.076,1.29,0.004,0.276,0.013999999999999999,0.042,0.024,0.006,0.068,0.005,0.009000000000000001,0.002,0.003,0.036000000000000004,0.003,0
5,0.034722222000000004,0.625,18.0,68500,88000,1996,0.075,1.47,0.003,0.33399999999999996,0.006,0.027000000000000003,0.043,0.032,0.034,0.094,0.29100000000000004,0.013000000000000001,0.02,0.042,0.01,0
6,0.033125,0.53,16.0,46100,74000,1960,0.213,0.9840000000000001,0.022000000000000002,0.042,0.006999999999999999,0.012,0.011000000000000001,0.011000000000000001,0.001,0.008,0.008,0.0,0.008,0.001,0.004,0
7,0.013888889,0.5,36.0,72000,89000,2013,0.036000000000000004,1.56,0.001,0.273,0.009000000000000001,0.04,0.071,0.201,0.0,0.086,0.26,0.011000000000000001,0.013999999999999999,0.067,0.006999999999999999,0
8,0.013888889,0.5,36.0,72600,90700,2013,0.044000000000000004,1.75,0.003,0.273,0.01,0.042,0.24100000000000002,0.122,0.001,0.08199999999999999,0.285,0.012,0.015,0.076,0.009000000000000001,0
9,0.013888889,0.5,36.0,74400,88900,2013,0.032,1.56,0.001,0.28,0.012,0.032,0.1,0.205,0.001,0.077,0.247,0.01,0.013999999999999999,0.068,0.006,0
10,0.013888889,0.5,36.0,74925,92500,2013,0.045,1.74,0.003,0.262,0.013000000000000001,0.037000000000000005,0.235,0.075,0.001,0.092,0.345,0.016,0.013999999999999999,0.071,0.008,0
11,0.013888889,0.5,36.0,76000,94800,2013,0.046,1.74,0.001,0.262,0.013999999999999999,0.043,0.245,0.125,0.001,0.073,0.20800000000000002,0.01,0.018000000000000002,0.077,0.006999999999999999,0
12,0.013888889,0.5,36.0,79600,93300,2013,0.047,1.55,0.002,0.205,0.01,0.04,0.228,0.006999999999999999,0.001,0.155,0.22699999999999998,0.001,0.012,0.08199999999999999,0.034,0
13,0.013888889,0.5,36.0,80000,93800,2013,0.042,1.75,0.003,0.27,0.009000000000000001,0.040999999999999995,0.249,0.07200000000000001,0.001,0.08900000000000001,0.218,0.01,0.017,0.066,0.009000000000000001,0
14,0.013888889,0.5,36.0,80400,96000,2013,0.038,1.54,0.003,0.179,0.011000000000000001,0.04,0.253,0.006,0.004,0.145,0.225,0.001,0.013000000000000001,0.079,0.034,0
15,0.022727273,0.5,22.0,47500,76200,1949,0.252,0.825,0.026000000000000002,0.155,0.01,0.006999999999999999,0.008,0.006,0.0,0.009000000000000001,0.009000000000000001,0.001,0.001,0.001,0.002,0
16,0.022727273,0.5,22.0,48200,76500,1949,0.287,0.833,0.016,0.14300000000000002,0.018000000000000002,0.001,0.013000000000000001,0.006999999999999999,0.0,0.015,0.015,0.001,0.001,0.001,0.002,0
17,0.022727273,0.5,22.0,48300,76500,1949,0.276,0.831,0.016,0.14400000000000002,0.016,0.006,0.011000000000000001,0.006,0.0,0.013999999999999999,0.013999999999999999,0.001,0.001,0.001,0.002,0
18,0.022727273,0.5,22.0,51000,79000,1949,0.261,0.838,0.026000000000000002,0.14300000000000002,0.017,0.009000000000000001,0.013000000000000001,0.008,0.0,0.016,0.016,0.002,0.001,0.001,0.003,0
19,0.025,0.5,20.0,37400,64500,1955,0.255,0.631,0.024,0.031,0.006999999999999999,0.006,0.017,0.004,0.001,0.009000000000000001,0.012,0.001,0.006,0.001,0.005,0
20,0.025,0.5,20.0,46200,69000,1952,0.239,0.8140000000000001,0.027999999999999997,0.025,0.023,0.005,0.075,0.006,0.0,0.039,0.046,0.004,0.001,0.002,0.004,0
21,0.027777778,0.5,18.0,80000,111000,1976,0.307,1.05,0.016,0.018000000000000002,0.016,0.006,0.05,0.011000000000000001,0.0,0.01,0.011000000000000001,0.0,0.001,0.001,0.003,0
22,0.039215686,0.5,12.75,44100,72500,1991,0.21600000000000003,0.653,0.006999999999999999,0.223,0.006999999999999999,0.019,0.04,0.013000000000000001,0.0,0.022000000000000002,0.015,0.0,0.002,0.001,0.005,0
23,0.039215686,0.5,12.75,44700,72500,1991,0.20199999999999999,0.655,0.006,0.223,0.006999999999999999,0.021,0.038,0.013000000000000001,0.0,0.022000000000000002,0.015,0.001,0.002,0.001,0.005,0
24,0.039215686,0.5,12.75,45600,73000,1991,0.21600000000000003,0.655,0.006999999999999999,0.22399999999999998,0.006999999999999999,0.02,0.038,0.013000000000000001,0.001,0.022000000000000002,0.015,0.001,0.006,0.002,0.006,0
25,0.046511628,0.5,10.75,62500,77000,2002,0.135,1.24,0.002,0.26,0.013999999999999999,0.043,0.019,0.004,0.001,0.013000000000000001,0.009000000000000001,0.001,0.003,0.033,0.001,0
26,0.046511628,0.5,10.75,71500,75700,2012,0.055999999999999994,1.0,0.002,0.18600000000000003,0.012,0.027000000000000003,0.053,0.017,0.0,0.044000000000000004,0.142,0.006999999999999999,0.01,0.016,0.002,0
27,0.046511628,0.5,10.75,73000,79000,2012,0.059000000000000004,0.99,0.001,0.193,0.012,0.026000000000000002,0.044000000000000004,0.015,0.0,0.054000000000000006,0.138,0.009000000000000001,0.01,0.013999999999999999,0.002,0
28,0.057971014,0.5,8.625,54000,74000,2005,0.198,1.07,0.006999999999999999,0.214,0.005,0.034,0.021,0.006,0.0,0.013000000000000001,0.024,0.002,0.002,0.001,0.005,0
29,0.057971014,0.5,8.625,59000,75500,2005,0.185,1.07,0.006999999999999999,0.215,0.005,0.034,0.021,0.006999999999999999,0.0,0.013000000000000001,0.024,0.002,0.002,0.001,0.006,0
30,0.009625,0.462,48.0,77000,81600,1972,0.10400000000000001,1.33,0.006,0.3,0.015,0.016,0.011000000000000001,0.008,0.044000000000000004,0.019,0.035,0.003,0.004,0.001,0.005,0
31,0.012166666999999999,0.43799999999999994,36.0,63500,84500,1970,0.209,1.3,0.016,0.027000000000000003,0.006,0.001,0.031,0.001,0.003,0.019,0.027999999999999997,0.003,0.001,0.040999999999999995,0.004,0
32,0.012166666999999999,0.43799999999999994,36.0,63500,84500,1970,0.209,1.27,0.017,0.028999999999999998,0.008,0.001,0.055,0.001,0.003,0.028999999999999998,0.04,0.004,0.001,0.04,0.003,0
33,0.0146,0.43799999999999994,30.0,73500,90000,2007,0.11599999999999999,1.38,0.005,0.24600000000000002,0.021,0.033,0.036000000000000004,0.004,0.068,0.008,0.006,0.001,0.013000000000000001,0.02,0.0,0
34,0.0146,0.43799999999999994,30.0,73500,89500,2007,0.121,1.37,0.004,0.21100000000000002,0.013000000000000001,0.043,0.038,0.004,0.065,0.009000000000000001,0.006,0.001,0.016,0.021,0.0,0
35,0.0146,0.43799999999999994,30.0,77500,109000,1969,0.244,1.37,0.019,0.036000000000000004,0.013000000000000001,0.002,0.052000000000000005,0.006,0.003,0.044000000000000004,0.10300000000000001,0.006999999999999999,0.001,0.035,0.01,0
36,0.0146,0.43799999999999994,30.0,81000,89500,2007,0.106,1.44,0.006999999999999999,0.204,0.011000000000000001,0.051,0.033,0.006,0.062,0.009000000000000001,0.008,0.001,0.016,0.017,0.001,0
37,0.027375,0.43799999999999994,16.0,38000,62000,1953,0.19399999999999998,0.534,0.013999999999999999,0.032,0.005,0.006,0.027999999999999997,0.001,0.0,0.01,0.011000000000000001,0.0,0.003,0.001,0.004,0
38,0.027375,0.43799999999999994,16.0,38500,64000,1951,0.205,0.429,0.022000000000000002,0.022000000000000002,0.006,0.015,0.018000000000000002,0.005,0.0,0.016,0.021,0.001,0.002,0.001,0.001,0
39,0.027375,0.43799999999999994,16.0,40400,64500,1953,0.254,0.563,0.02,0.031,0.006999999999999999,0.001,0.028999999999999998,0.001,0.0,0.011000000000000001,0.012,0.001,0.001,0.001,0.004,0
40,0.027375,0.43799999999999994,16.0,40500,66000,1953,0.259,0.562,0.017,0.033,0.006999999999999999,0.003,0.028999999999999998,0.001,0.0,0.011000000000000001,0.012,0.001,0.002,0.001,0.004,0
41,0.027375,0.43799999999999994,16.0,40900,63000,1951,0.196,0.423,0.018000000000000002,0.021,0.005,0.01,0.018000000000000002,0.005,0.0,0.016,0.021,0.001,0.002,0.001,0.001,0
42,0.027375,0.43799999999999994,16.0,42200,63500,1951,0.218,0.392,0.022000000000000002,0.008,0.006,0.002,0.031,0.002,0.0,0.006999999999999999,0.009000000000000001,0.001,0.004,0.001,0.0,0
43,0.027375,0.43799999999999994,16.0,42300,68500,1951,0.319,0.515,0.044000000000000004,0.025,0.012,0.018000000000000002,0.035,0.005,0.0,0.016,0.022000000000000002,0.002,0.003,0.001,0.002,0
44,0.027375,0.43799999999999994,16.0,43000,66500,1951,0.271,0.45899999999999996,0.027000000000000003,0.025,0.006999999999999999,0.013999999999999999,0.019,0.006,0.0,0.017,0.023,0.002,0.003,0.001,0.0,0
45,0.0143,0.429,30.0,82500,96500,2011,0.065,1.59,0.002,0.266,0.011000000000000001,0.03,0.149,0.05,0.077,0.147,0.265,0.013000000000000001,0.008,0.049,0.01,0
46,0.010047619,0.42200000000000004,42.0,85000,94000,2008,0.046,1.7,0.005,0.444,0.013000000000000001,0.027000000000000003,0.043,0.242,0.006,0.064,0.175,0.01,0.013000000000000001,0.043,0.006,0
47,0.008458333,0.406,48.0,58800,80900,1973,0.19,1.37,0.021,0.27,0.017,0.043,0.008,0.002,0.001,0.011000000000000001,0.031,0.002,0.003,0.0,0.004,0
48,0.016916667,0.406,24.0,63300,85900,1962,0.23,1.11,0.03,0.03,0.015,0.01,0.04,0.03,0.01,0.05,0.09,0.0,0.01,0.0,0.0,0
49,0.035813952999999996,0.385,10.75,69000,77000,2012,0.036000000000000004,1.1,0.001,0.218,0.012,0.028999999999999998,0.033,0.009000000000000001,0.0,0.024,0.059000000000000004,0.004,0.011000000000000001,0.033,0.002,0
50,0.035813952999999996,0.385,10.75,72000,79500,2012,0.036000000000000004,1.1,0.001,0.218,0.012,0.028999999999999998,0.033,0.009000000000000001,0.0,0.024,0.059000000000000004,0.004,0.011000000000000001,0.033,0.002,0
51,0.010416667,0.375,36.0,65500,91000,1971,0.156,1.43,0.003,0.298,0.017,0.055,0.012,0.0,0.004,0.016,0.01,0.001,0.002,0.043,0.006999999999999999,0
52,0.010416667,0.375,36.0,68000,89500,1971,0.161,1.43,0.003,0.3,0.018000000000000002,0.055,0.012,0.0,0.004,0.016,0.012,0.001,0.002,0.045,0.006,0
53,0.010416667,0.375,36.0,69500,93500,1971,0.16699999999999998,1.44,0.005,0.311,0.022000000000000002,0.064,0.015,0.0,0.004,0.013999999999999999,0.013000000000000001,0.001,0.002,0.045,0.005,0
54,0.010416667,0.375,36.0,70500,90000,1971,0.16699999999999998,1.44,0.005,0.311,0.022000000000000002,0.064,0.015,0.0,0.004,0.013999999999999999,0.013000000000000001,0.001,0.002,0.045,0.005,0
