name,Yield_Strength,Tensile_Strength,Pipe Vintage,%C,%Mn,%S,%Si,%P,%Al,%Cr,%Mo,%V,%Ni,%Cu,%Sn,%Ti,%Nb,%Co,Grade_Early_bin
1,48800,65500,1954,0.234,0.618,0.027,0.004,0.009,0.001,0.042,0.003,0,0.02,0.036,0.005,0.001,0.001,0.004,0
2,48000,69000,1966,0.248,0.599,0.021,0.137,0.006,0.02,0.018,0.019,0.001,0.013,0.013,0.002,0.002,0.003,0.006,0
3,78500,97500,2008,0.056,1.57,0.003,0.25,0.016,0.035,0.143,0.207,0.008,0.087,0.328,0.013,0.029,0.075,0.007,0
4,70000,81500,1997,0.076,1.29,0.004,0.276,0.014,0.042,0.024,0.006,0.068,0.005,0.009,0.002,0.003,0.036,0.003,0
5,68500,88000,1996,0.075,1.47,0.003,0.334,0.006,0.027,0.043,0.032,0.034,0.094,0.291,0.013,0.02,0.042,0.01,0
6,46100,74000,1960,0.213,0.984,0.022,0.042,0.007,0.012,0.011,0.011,0.001,0.008,0.008,0,0.008,0.001,0.004,0
7,72000,89000,2013,0.036,1.56,0.001,0.273,0.009,0.04,0.071,0.201,0,0.086,0.26,0.011,0.014,0.067,0.007,0
8,72600,90700,2013,0.044,1.75,0.003,0.273,0.01,0.042,0.241,0.122,0.001,0.082,0.285,0.012,0.015,0.076,0.009,0
9,74400,88900,2013,0.032,1.56,0.001,0.28,0.012,0.032,0.1,0.205,0.001,0.077,0.247,0.01,0.014,0.068,0.006,0
10,74925,92500,2013,0.045,1.74,0.003,0.262,0.013,0.037,0.235,0.075,0.001,0.092,0.345,0.016,0.014,0.071,0.008,0
11,76000,94800,2013,0.046,1.74,0.001,0.262,0.014,0.043,0.245,0.125,0.001,0.073,0.208,0.01,0.018,0.077,0.007,0
12,79600,93300,2013,0.047,1.55,0.002,0.205,0.01,0.04,0.228,0.007,0.001,0.155,0.227,0.001,0.012,0.082,0.034,0
13,80000,93800,2013,0.042,1.75,0.003,0.27,0.009,0.041,0.249,0.072,0.001,0.089,0.218,0.01,0.017,0.066,0.009,0
14,80400,96000,2013,0.038,1.54,0.003,0.179,0.011,0.04,0.253,0.006,0.004,0.145,0.225,0.001,0.013,0.079,0.034,0
15,47500,76200,1949,0.252,0.825,0.026,0.155,0.01,0.007,0.008,0.006,0,0.009,0.009,0.001,0.001,0.001,0.002,0
16,48200,76500,1949,0.287,0.833,0.016,0.143,0.018,0.001,0.013,0.007,0,0.015,0.015,0.001,0.001,0.001,0.002,0
17,48300,76500,1949,0.276,0.831,0.016,0.144,0.016,0.006,0.011,0.006,0,0.014,0.014,0.001,0.001,0.001,0.002,0
18,51000,79000,1949,0.261,0.838,0.026,0.143,0.017,0.009,0.013,0.008,0,0.016,0.016,0.002,0.001,0.001,0.003,0
19,37400,64500,1955,0.255,0.631,0.024,0.031,0.007,0.006,0.017,0.004,0.001,0.009,0.012,0.001,0.006,0.001,0.005,0
20,46200,69000,1952,0.239,0.814,0.028,0.025,0.023,0.005,0.075,0.006,0,0.039,0.046,0.004,0.001,0.002,0.004,0
21,80000,111000,1976,0.307,1.05,0.016,0.018,0.016,0.006,0.05,0.011,0,0.01,0.011,0,0.001,0.001,0.003,0
22,44100,72500,1991,0.216,0.653,0.007,0.223,0.007,0.019,0.04,0.013,0,0.022,0.015,0,0.002,0.001,0.005,0
23,44700,72500,1991,0.202,0.655,0.006,0.223,0.007,0.021,0.038,0.013,0,0.022,0.015,0.001,0.002,0.001,0.005,0
24,45600,73000,1991,0.216,0.655,0.007,0.224,0.007,0.02,0.038,0.013,0.001,0.022,0.015,0.001,0.006,0.002,0.006,0
25,62500,77000,2002,0.135,1.24,0.002,0.26,0.014,0.043,0.019,0.004,0.001,0.013,0.009,0.001,0.003,0.033,0.001,0
26,71500,75700,2012,0.056,1,0.002,0.186,0.012,0.027,0.053,0.017,0,0.044,0.142,0.007,0.01,0.016,0.002,0
27,73000,79000,2012,0.059,0.99,0.001,0.193,0.012,0.026,0.044,0.015,0,0.054,0.138,0.009,0.01,0.014,0.002,0
28,54000,74000,2005,0.198,1.07,0.007,0.214,0.005,0.034,0.021,0.006,0,0.013,0.024,0.002,0.002,0.001,0.005,0
