ID,Yield,Tensile,Elongation,C,Mn,S,P,Ni,Cu,Nb,Vintage,Grade_Name
830,46779.17191,73147.96873,36.8158755,0.229344029,0.367987026,0.02057603,0.027053979,0.116895181,0.067393174,0.000126708,1930.727125,Grade B
1338,61432.74828,80323.95671,27.56476486,0.196060765,0.373926887,0.021275544,0.01094837,0.019141116,0.016105269,0.000431404,1967.756527,X42
1726,56166.59331,71069.64888,25.49896664,0.213028651,0.922029459,0.029076752,0.051006279,0.005878318,0.250809962,0.002822094,1947,X46
547,40400,64500,44.2,0.254,0.563,0.02,0.007,0.011,0.012,0.001,1953,Grade B
2004,65000,79000,31,0.201,0.737,0.014,0.008,0.036,0.054,0.028,1968,X52
1362,63198.02354,69356.98911,31.56124572,0.236692568,0.868158618,0.023206755,0.020087681,0.041815634,0.264701868,0.001481677,1987.785871,X42
1703,49015.09112,66815.0272,27.74172951,0.257912978,0.607205375,0.013123478,0.049137194,0.063383383,0.154912201,0.001870936,1967,X46
66,32735.73966,53600.28528,41.4659462,0.09279839,0.277419501,0.024030551,0.000320438,0.008917705,0.058653192,0.000293647,1943,Grade A
331,34991.25419,51397.53257,34.21548834,0.106337166,0.521140153,0.013795258,0.007742947,0.01277056,0.037877472,0.000979866,1948.052289,Grade A
771,40070.08175,71793.47635,41.56300297,0.216903661,0.591169836,0.016792101,0.000341379,0.056192747,0.135789183,0.002227894,1947.500971,Grade B
2194,50100,61700,27.7,0.065,0.882,0.013,0.012,0.009,0.015,0.032,1962,X52
2873,58000,74000,20.5,0.232,1.26,0.019,0.008,0.027,0.033,0.019,1987,X60
416,36026.4834,60426.5987,52.78945791,0.016221663,0.342187012,0.012186292,0.008804689,0.030044501,0.091553,0.001763728,1950.272128,Grade A
2530,76709.91083,90273.10444,24.15368506,0.206882148,1.191746406,0.015167368,0.007075589,0.055174261,0.076414626,0.029834707,1952.188531,X56
1926,56500,67500,27.9,0.2,1.1,0.024,0.015,0.011,0.072,0.021,1953,X52
624,46732,73596,35.7,0.245,0.783,0.028,0.013,0.007,0.013,0.001,1937,Grade B
2456,76996.05425,94871.39898,23.7500396,0.208901757,1.168895524,0.019241043,0.01468369,0.042792805,0.110261412,0.024450699,1952.514761,X56
4076,81407.85104,94840.52543,28.70302892,0.058483371,1.079333184,0.001791807,0.015376187,0.084582271,0.169828526,0.036861227,2014.427266,X70
1160,53481,67079,35.1,0.246,0.722,0.002,0.007,0.018,0.068,0.001,1960,X42
2278,64749.30433,92186.41214,29.50749845,0.275031242,1.117073778,0.009893719,0.011627781,0.069514756,0.050448399,0.011889285,1955.068034,X52
4106,78906.89509,99730.98678,30.86352627,0.071496455,1.604718442,0.002124462,0.010829847,0.037269058,0.063303582,0.061656228,2010.822818,X70
3707,67968.48344,90123.35391,26.0778586,0.000280683,0.74517812,0.001192346,0.007428803,0.028998005,0.152807841,0.050187777,1965.863867,X65
2624,77506.91529,116524.4743,27.82386992,0.270010016,0.397433391,0.018629458,0.011139704,0.13465242,0.188354353,0.006883047,1951.202215,X56
1752,54692.97928,73117.80099,22.98249632,0.251123955,0.702876217,0.017311114,0.004880306,0.012408918,0.331511489,0.001225447,1955,X46
2173,56800,82100,27.1,0.243,1.29,0.011,0.01,0.063,0.112,0.001,1983,X52
881,39941.66036,74563.65608,36.56679243,0.146240477,0.545736336,0.02101927,0.020713989,0.032632949,0.096054985,0.000566955,1933.769808,Grade B
3398,70488.97285,78414.74333,21.36298005,0.048418314,1.136368053,0.005221916,0.005841683,0.010423859,0.026496215,0.050315061,1973.668054,X65
1459,54500,70000,18.8,0.25,0.57,0.015,0.005,0.009,0.201,0.002,1958,X46
1889,50610.72058,79452.33653,19.06161053,0.243109943,0.700454377,0.020136875,0.06805628,0.022529599,0.286119769,0.002725637,1966.34416,X46
3785,78561.70565,95546.82074,31.0783642,0.052728914,1.512366964,0.00346661,0.013836929,0.103680251,0.322896271,0.056300414,2008.236232,X70
3685,71533.47427,86290.37845,29.26231553,0.258557574,0.65525751,0.006022668,0.014140468,0.039736985,0.119915185,0.05624127,2009.625585,X65
1171,50303,72375,26.2,0.267,0.782,0.03,0.008,0.028,0.11,0.001,1959,X42
760,40318.31885,64698.73124,25.18402447,0.268753388,0.939583564,0.021723043,0.01771228,0.093352686,0.04256679,0.005331883,1968.905824,Grade B
1209,54677.33598,76860.70154,29.5328436,0.245102432,0.868835388,0.015763013,0.007751327,0.007210099,0.020754455,0.001474505,1945,X42
3334,70509.62913,86005.9625,24.33143645,0.052822063,1.398689014,0.012142123,0.014919722,0.059716783,0.109155353,0.036726534,1992.92987,X65
2964,61436.53231,93170.77393,31.36776433,0.037297912,0.945829758,0.013894559,0.011833655,0.129883097,0.072193093,0.024466096,1967,X60
3446,71374.56576,85821.94799,21.40464184,0.060349242,0.778736232,0.020949987,0.014652933,0.009031008,0.087934024,0.053761209,2003.208305,X65
3214,75029.3223,89431.52528,32.46425721,0.178334261,1.241917097,0.022145214,0.011249016,0.168397302,0.07425883,0.027066961,1962.594719,X60
3616,69814.79744,98883.85762,31.40711178,0.146723405,1.565897509,0.007446553,0.006168352,0.006993506,0.000540647,0.021266996,1994.289384,X65
1070,54500,69000,34.9,0.178,0.5,0.017,0.005,0.05,0.137,0.001,1964,X42
2179,57500,68000,26.3,0.229,0.83,0.018,0.011,0.009,0.011,0.001,1948,X52
2016,53900,74500,28,0.237,0.97,0.021,0.012,0.009,0.014,0.003,1955,X52
870,41992.72726,71648.27914,28.7145479,0.234474737,0.815267442,0.02491836,0.011985219,0.014188676,0.078289217,0.001600908,1977.99651,Grade B
2295,66018.82636,72398.54993,34.8802894,0.226318796,0.946339778,0.005030269,0.009807519,0.01165296,0.032686416,0.002759988,1959.379391,X52
717,39246.67209,74731.73059,33.22447011,0.063349951,0.651078498,0.01841475,0.0329592,0.03460976,0.004958908,0.002094383,1959,Grade B
3089,72248.84696,99422.75649,21.26009532,0.161879055,1.154828365,0.005147929,0.002049629,0.270539143,0.031680651,1.55E-05,1968.334332,X60
2008,60000,76000,33,0.267,0.917,0.016,0.011,0.012,0.031,0.002,1968,X52
2878,72000,101000,29.3,0.244,1.34,0.016,0.008,0.023,0.03,0.015,1965,X60
3145,66373.32928,90711.76684,29.93755804,0.125967741,1.132251642,0.020674167,0.007160056,0.083157476,0.151130151,0.029617457,1987.262933,X60
2977,66082.41937,94803.21348,31.7812738,0.206572096,0.980117853,0.014140091,0.00987697,0.125159212,0.128607477,0.026362925,1975,X60
595,53000,66000,34,0.267,0.689,0.027,0.008,0.049,0.167,0.001,1952,Grade B
3388,72368.12306,87387.48418,26.37625567,0.176219496,1.371657041,0.002313725,0.015295135,0.023412853,0.021377012,0.049514512,1995.720896,X65
4190,78401.88251,94551.25597,32.46799109,0.080165153,1.252347556,0.001186164,0.013273079,0.073584942,0.246628458,0.079387615,2008.240859,X70
4111,78429.02349,98254.16677,29.93890713,0.044626359,1.401122605,0.002643199,0.013012323,0.083401542,0.104152143,0.047374316,2005.200889,X70
3658,75156.79587,92813.67575,25.88340007,0.097662838,1.4982305,0.022717381,0.022949195,0.045826243,0.101190769,0.055876712,1975.433252,X65
1793,56790.44982,68309.80145,26.94686724,0.20961017,0.742253999,0.017496182,0.044482419,0.045408746,0.282968779,6.27E-05,1955.367953,X46
3212,66745.74458,91344.98495,23.32711916,0.145563255,0.915222598,0.016249964,0.013861174,0.250817098,0.159507515,0.036985427,1967.399694,X60
3030,66722.59683,92679.05333,22.72850846,0.173369029,1.389746518,0.020651394,0.007322581,0.138944354,0.149107874,0.016358616,1966,X60
2949,66255.01362,89760.75417,23.48095484,0.235311916,0.923859855,0.021403511,0.001835319,0.052428193,0.236225201,0.009991343,1966,X60
1013,47400,71000,33,0.25,0.69,0.025,0.006,0.029,0.081,0.002,1952,X42
3482,72464.15826,86171.88533,30.55517575,0.131030722,1.320648168,0.00193957,0.013282454,0.031978113,0.151164502,0.038643719,2008.967012,X65
1901,51090.05723,73204.19264,26.92514415,0.256179142,0.883455193,0.017863785,0.059976582,0.047973947,0.278922434,0.001068011,1955.465598,X46
3407,71725.75171,90396.3336,22.84458627,0.088773686,1.507225499,0.017783967,0.013608856,0.050059442,0.053309138,0.054113591,2008.243855,X65
638,65333,76582,28.9,0.184,0.544,0.024,0.004,0.137,0.168,0.001,1956,Grade B
782,47085.65709,64655.71094,35.69978966,0.188722577,1.066612925,0.018065801,0.019425204,0.124111628,0.023750926,0.001545079,1953.000887,Grade B
3276,63129.1175,84354.98633,22.99454308,0.254952312,1.066335559,0.019250007,0.004403723,0.178562646,0.128160836,0.034479569,1989.457572,X60
4146,83833.83009,93223.39162,30.49669088,0.051981907,1.207159141,0.002679236,0.013007782,0.045149299,0.057265418,0.083949377,2012.898302,X70
1686,58343.73744,75369.46365,27.73935848,0.26849499,0.742754102,0.020273013,0.047123928,0.04333972,0.171300165,0.000830611,1954,X46
1486,51000,69500,24.6,0.241,0.823,0.023,0.007,0.027,0.098,0.002,1952,X46
1747,59142.45135,68110.77533,24.50589915,0.257709497,0.799000686,0.020567857,0.010772806,0.055329728,0.335262682,0.001093622,1948,X46
2095,59000,80500,32.9,0.19,0.726,0.011,0.004,0.009,0.019,0.001,1968,X52
3832,82250.73742,99761.47266,30.83823442,0.044075069,0.844874432,0.002509374,0.016316599,0.095610111,0.098597346,0.072703289,2009.843106,X70
3204,73965.63492,101037.2743,31.91263637,0.202091552,1.021520307,0.015570131,0.004120465,0.162225501,0.084224445,0.001257638,1989.436747,X60
1371,63211.07678,77661.86261,41.25508853,0.257923948,0.632966996,0.025797628,0.010644589,0.034141817,0.144833621,0.005752321,1953.506432,X42
2652,77156.29442,112080.3414,22.91431546,0.22132783,0.520321672,0.01990085,0.01864818,0.022074504,0.092864023,0.031650907,1957.387446,X56
1353,54827.09718,65778.4197,47.50350451,0.249853185,0.478148336,0.007920612,0.013058084,0.01653488,0.257350657,0.006406079,1952.364054,X42
852,38099.98578,71982.37124,24.29092959,0.189242025,0.599821425,0.02176491,0.030866106,0.090816272,0.0967002,0.000381355,1978.279912,Grade B
655,41784.05493,76229.83988,36.55720949,0.232354735,0.700690302,0.027964638,0.018609919,0.061675509,0.088584268,0.000371792,1962,Grade B
2373,67226.31692,91551.92146,30.70424287,0.254984462,1.010194501,0.025650735,0.004103495,0.022903061,0.102976782,0.005180453,1952.998585,X52
4166,78954.437,103113.666,34.63419629,0.059592394,1.48444128,0.004407412,0.01045558,0.0276422,0.219284007,0.052693207,2009.838942,X70
1436,60091.95484,70794.34206,37.10892382,0.224921731,0.385881646,0.026469976,0.000184542,0.048421787,0.219936069,0.004675812,1977.972417,X42
131,33541.69448,41357.85347,29.95600977,0.012448535,0.309601136,0.022408537,0.009583613,0.021290756,0.072797991,0.000133963,1951,Grade A
1210,58873.33361,73735.20956,33.77187914,0.207898481,0.651347859,0.028342433,0.017988103,0.004474535,0.158430151,0.009639273,1956,X42
2053,63500,86500,32,0.209,1.14,0.017,0.01,0.014,0.017,0.003,1961,X52
